dataset,stage,comparison,n,structurally_identical,structurally_different
public_v1,raw_lift,O1_vs_O2,40,40,0
public_v1,raw_lift,O1_vs_O3,40,40,0
public_v1,raw_lift,O2_vs_O3,40,40,0
public_v1,brightened_main,O1_vs_O2,40,0,40
public_v1,brightened_main,O1_vs_O3,40,0,40
public_v1,brightened_main,O2_vs_O3,40,2,38
public_v1,bundle_verified_input,O1_vs_O2,40,0,40
public_v1,bundle_verified_input,O1_vs_O3,40,0,40
public_v1,bundle_verified_input,O2_vs_O3,40,2,38
public_v1,bundle_pointer_opt,O1_vs_O2,40,0,40
public_v1,bundle_pointer_opt,O1_vs_O3,40,0,40
public_v1,bundle_pointer_opt,O2_vs_O3,40,2,38
public_v1,bundle_standard_opt_3,O1_vs_O2,40,0,40
public_v1,bundle_standard_opt_3,O1_vs_O3,40,0,40
public_v1,bundle_standard_opt_3,O2_vs_O3,40,2,38
public_v1,bundle_storage_delift,O1_vs_O2,40,0,40
public_v1,bundle_storage_delift,O1_vs_O3,40,0,40
public_v1,bundle_storage_delift,O2_vs_O3,40,2,38
public_v1,bundle_residual_strip,O1_vs_O2,40,0,40
public_v1,bundle_residual_strip,O1_vs_O3,40,0,40
public_v1,bundle_residual_strip,O2_vs_O3,40,2,38
public_v1,final_clean,O1_vs_O2,40,0,40
public_v1,final_clean,O1_vs_O3,40,0,40
public_v1,final_clean,O2_vs_O3,40,2,38
